STT,GIÁ - TRIỆU ĐỒNG,HÃNG,DÒNG,NĂM_SX,DUNG TÍCH - CC,KIỂU XE,TÌNH TRẠNG
6025,55,Honda,Vario,2018,125,Tay ga,Cũ
6026,56,Honda,Spacy,2006,125,Tay ga,Mới
6027,13.5,Honda,Cub,1979,50,Xe số,Cũ
6028,35,Honda,Winner X,2020,150,Tay côn/Moto,Cũ
6029,30,Honda,Winner,2017,150,Tay côn/Moto,Cũ
6030,87.4,Piaggio,Vespa,2020,125,Tay ga,Cũ
6031,8.7,SYM,Attila,2012,110,Tay ga,Cũ
6032,53.5,Piaggio,Sprint,2016,125,Tay ga,Mới
6033,2.99,Yamaha,Nouvo,2008,110,Tay ga,Cũ
6034,11.5,Honda,Wave,2002,110,Xe số,Cũ
6035,16,Yamaha,Exciter,2014,125,Tay côn/Moto,Cũ
6036,13.5,Piaggio,Zip,2016,100,Tay ga,Cũ
6037,16,Yamaha,Exciter,2014,125,Tay côn/Moto,Cũ
6038,21.5,Honda,Air Blade,2010,110,Tay ga,Cũ
6039,6,SYM,Attila,2008,110,Tay ga,Cũ
6040,19,Honda,Air Blade,2010,110,Tay ga,Cũ
6041,46.5,Piaggio,GTS,2017,150,Tay ga,Cũ
6042,7,Yamaha,Taurus,2012,110,Xe số,Cũ
6043,41.8,Honda,Click,2017,125,Tay ga,Cũ
6044,7.9,Honda,Wave,2010,110,Xe số,Cũ
6045,86,Ngoại,SH ý,2005,150,Tay ga,Cũ
6046,600,BMW,S1000RR,2019,1000,Tay côn/Moto,Cũ
6047,25.5,Honda,Dream,2000,100,Xe số,Cũ
6048,15.9,Yamaha,Exciter,2012,125,Tay côn/Moto,Cũ
6049,30,Honda,SH,2010,125,Tay ga,Cũ
6050,52.5,Yamaha,Exciter,2012,125,Tay côn/Moto,Cũ
6051,15.9,Honda,Lead,2011,110,Tay ga,Cũ
6052,44,Honda,SH,2015,125,Tay ga,Cũ
6053,25.3,Honda,Winner,2017,150,Tay côn/Moto,Cũ
6054,40,Honda,SH,2011,125,Tay ga,Mới
6055,12.8,Honda,Dream,2000,110,Xe số,Cũ
6056,17.9,Yamaha,Exciter,2012,125,Tay côn/Moto,Cũ
6057,8,Honda,Wave,2006,110,Xe số,Cũ
6058,14.8,Honda,Wave,2017,110,Xe số,Cũ
6059,31.2,Honda,Air Blade,2017,125,Tay ga,Cũ
6060,40,Honda,Air Blade,2014,125,Tay ga,Mới
6061,48.8,Suzuki,GSX,2019,150,Tay côn/Moto,Cũ
6062,19,Honda,Future,2007,125,Xe số,Cũ
